=== google-t5/t5-base ===
if you're going to have the privilege             Wenn du das Privileg hast,                        dass, wenn man das Privileg hat,                  
So, basically the \"Internet\" has two Internets. Das Internet hat zwei Internet.                   Das Internet besteht also praktisch aus zwei Internets.
The desert's extremely windy as well as being very cold.Die Wüste ist extrem windig und sehr kalt.        Die meisten Leute denken, dass die Höcker Wasser speichern.
doesn't begin with ideas or facts or data.        beginnt nicht mit Ideen, Fakten oder Daten.       nicht mit Ideen, Fakten oder Informationen beginnt.
I hope it's not over.                             Ich hoffe, es ist noch nicht vorbei.              Ich hoffe, Sie ist nicht beendet.                 
You're going to see the whole thing take place in this movie.Sie werden sehen, wie sich das alles in diesem Film abspielt.Sie werden die ganze Sache im Film von statten gehen sehen.
our supply of flu and made more available,        Wir haben unsere Flu-Versorgung und mehr zur Verfügung gestellt,verdünnen und weiter verfügbar machen können,     
this is where we need to be.                      Hier müssen wir sein.                             das ist wo wir hinkommen müssen.                  
We need to recognize just how serious             Wir müssen erkennen, wie ernst es ist.            Wir müssen erkennen, wie ernst                    
they just add a new layer to the existing system of terror.Sie fügen dem bestehenden Terrorsystem nur eine neue Schicht hinzu.Sie fügt sich lediglich zum Dispositiv des existenten Terrors hinzu.
and the results are in:                           und die Ergebnisse sind:                          Nun liegen Ergebnisse vor:                        
Why wouldn't they just go to a shop and buy a bag of nutsWarum gehen sie nicht einfach in einen Laden und kaufen eine Tasche NüsseWarum gehen sie nicht einfach in einen Laden und kaufen eine Tüte Nüsse,
that maybe there is many more possibilities       Vielleicht gibt es noch viele Möglichkeiten.      dass es vielleicht viel mehr Möglichkeiten gibt   
I had woven carbon fiber sprinting legs           Ich hatte Carbonfaser-Sprintbeine gewebt          Ich hatte Sprintbeine aus gewebten Kohlenstofffasern,
And then 10 years later everything changed.       Und dann, 10 Jahre später, änderte sich alles.    Und 10 Jahre später, änderte sich alles.          
The processing, of course, begins with the eyes.  Die Verarbeitung beginnt natürlich mit den Augen. Der Prozess beginnt natürlich bei den Augen.      
and then here we are in the deep ocean,           und dann sind wir im tiefen Ozean,                die den menschlichen Geist erhellen können.       
with the digital information                      mit den digitalen Informationen                   mit den digitalen Informationen interagieren      
sort of loosely attached, so it could spin by itself.Es ist etwas lock, also kann es sich selbst drehen.locker befestigt war, damit es sich allein drehen konnte.
They don’t. Their mothers don’t say to little baby fish,Ihre Mütter sagen den kleinen Fischen nicht:      Das tun sie nicht. Ihre Mütter sagen nicht zum kleinen Babyfisch,
In 1949 we saw the emergence of the modern China  1949 erlebten wir die Entstehung des modernen Chinas.1949 sahen wir die Entstehung des modernen Chinas 
that memory is still in people's minds.           Die Erinnerung ist immer noch im Kopf der Menschen.ist bis heute im Gedächtnis der Menschen präsent. 
And this is all about darkness                    Und das geht nur um die Dunkelheit.               Sie haben diesen Schatten,                        
From China to Brazil, these projects attempt      Von China bis Brasilien versuchen diese Projekte  Von China bis Brasilien versuchen diese Projekte, 
where we decide how we want to treat it.          wo wir entscheiden, wie wir es behandeln wollen.  in dem wir entscheiden, wie wir sie behandeln wollen.
all the way to your deathbed,                     bis zu deinem Todesbett.                          um noch ein paar Spiele zu spielen.               
or for some reason we can't take them down.       oder aus irgendeinem Grund können wir sie nicht abschalten.oder wir können sie aus anderen Gründen nicht zur Rechenschaft ziehen.
George was actually an alcoholic when they married, and Mary knew it.George war eigentlich ein Alkoholiker, als sie heirateten, und Mary wusste es.als sie sich zum ersten Mal trafen.               
and, I would say, nakedness,                      und ich würde sagen, Nacktheit,                   und, würde ich sagen, Nacktheit,                  
but enough to do an unbelievable amount of damage.Aber genug, um unglaublich viel Schaden zu verursachen.aber genug, um einen unglaublichen Schaden anzurichten.
people who are attracted to the ritualistic side, Menschen, die an die rituelle Seite angezogen werden,Menschen, die sich zur rituellen Seite hingezogen fühlen,
actually have the capability or the interest in going under the waterSie haben die Fähigkeit oder das Interesse, unter Wasser zu gehen.besitzt die Fähigkeiten oder das Interesse um unterzutauchen
from neurons in the fly's brain while the fly     von Neuronen im Gehirn der Fliege während die Fliegeim Gehirn der Fliege aufzeichnen –                
are early detection, early intervention.          Sie sind frühzeitig zu erkennen, frühzeitig zu intervenieren.sind Früherkennung, schnelles Gegensteuern.       
and I won't go through them all --                und ich werde nicht alle durchgehen --            wir sagen ihr nicht, was passieren wird           
It's because I didn't have a self to get in the way.Weil ich kein Selbst hatte, um mir im Weg zu stehen.Das war, weil ich kein Selbst hatte, was dazwischen war.
What I would suggest is that if you want to see   Ich würde Ihnen vorschlagen, wenn Sie sehen wollen,Also, was ich vorschlagen würde, wenn Sie sehen möchten,
and she sat there with this penguin, the penguin's flapping, and she let's it go.Sie saß mit einem Pinguin, der Pinguin flachterte und sie ließ es los.und sie saß da mit diesem Pinguin, der Pinguin flatterte und sie ließ ihn los.
that is helping us, not only finally with evaluation, assessing what works.Das ist eine wichtige Aufgabe, die wir in diesem Bereich nicht nur mit der Bewertung, sondern auch mit der Bewertung der Ergebnisse befassen.Wir gestalteten Chemie und Physik neu.            
It's really difficult. So we're still having to rely onEs ist wirklich schwierig, also müssen wir uns immer noch darauf verlassen,Das ist sehr schwierig. Also müssen wir uns da noch
And he became interested in that.                 Und er interessierte sich dafür.                  Asanga wurde neugierig.                           
to move things around and interact with us        Um Dinge zu bewegen und mit uns zu interagieren   vom Bildschirm in die physische Welt bringen kann, in der wir leben.
and I won't read them for you.                    Und ich las sie nicht für dich.                   und ich werde sie Ihnen auch nicht vorlesen.      
It's the whole planet,                            Es ist der ganze Planet.                          Es ist der ganze Planet,                          
getting a better version                          Eine bessere Version zu bekommen.                 nach einer besseren Version des                   
This is one of the jackets you grew?              Das ist eine der Jacken, die du angebaut hast?    Dies ist eine der Jacken aus deinem Anbau?        
Seven is prime because it's 1 x 7,                Sieben ist prime, weil es 1 x 7 ist.              7 ist prim, weil 1 x 7 = 7,                       
